trial,target,goal_yaw_deg,actual_yaw_deg,error_deg
1,B,-90.00,-95.21,5.210
3,B,-90.00,-86.56,-3.444
5,B,-90.00,-98.26,8.260
7,B,-90.00,-97.27,7.268
